Airline Name,Year,Quarter,CO2 Emissions (thousands of kg),Revenue (billion of dollars $)
SkyWest Airline,2013,1,33316.668,0.803
SkyWest Airline,2013,2,34958.322,0.839
SkyWest Airline,2013,3,37586.241,0.851
SkyWest Airline,2013,4,36157.7475,0.804
SkyWest Airline,2014,1,36803.592,0.772
SkyWest Airline,2014,2,46484.8965,0.817
SkyWest Airline,2014,3,43643.817,0.835
SkyWest Airline,2014,4,40678.659,0.814
SkyWest Airline,2015,1,38079.3735,0.76
SkyWest Airline,2015,2,41384.952,0.788
SkyWest Airline,2015,3,49246.4385,0.794
SkyWest Airline,2015,4,47337.5385,0.753
SkyWest Airline,2016,1,53452.3815,0.762
SkyWest Airline,2016,2,59910.8265,0.801
SkyWest Airline,2016,3,59439.9645,0.8
SkyWest Airline,2016,4,53169.228,0.701
SkyWest Airline,2017,1,54680.4405,0.747
SkyWest Airline,2017,2,61997.8905,0.792
SkyWest Airline,2017,3,67148.739,0.813
SkyWest Airline,2017,4,71516.9385,0.771
SkyWest Airline,2018,1,73289.034,0.783
SkyWest Airline,2018,2,77192.7345,0.806
SkyWest Airline,2018,3,79349.7915,0.829
SkyWest Airline,2018,4,80886.456,0.803
SkyWest Airline,2019,1,77030.478,0.724
SkyWest Airline,2019,2,82769.904,0.744
SkyWest Airline,2019,3,86511.348,0.76
SkyWest Airline,2019,4,85156.029,0.744
Southwest Airlines,2010,1,1047394.341,2.63
Southwest Airlines,2010,2,1182716.262,3.168
Southwest Airlines,2010,3,1191554.469,3.192
Southwest Airlines,2010,4,1149205.523,3.114
Southwest Airlines,2011,1,1131440.027,3.103
Southwest Airlines,2011,2,1251048.519,4.136
Southwest Airlines,2011,3,1240034.166,4.311
Southwest Airlines,2011,4,1171625.553,4.108
Southwest Airlines,2012,1,1146501.248,3.991
Southwest Airlines,2012,2,1542209.855,4.616
Southwest Airlines,2012,3,1519563.938,4.309
Southwest Airlines,2012,4,1411548.831,4.172
Southwest Airlines,2013,1,1374932.948,4.084
Southwest Airlines,2013,2,1521425.115,4.643
Southwest Airlines,2013,3,1482505.826,4.545
Southwest Airlines,2013,4,1406668.41,4.427
Southwest Airlines,2014,1,1343846.511,4.166
Southwest Airlines,2014,2,1493322.926,5.011
Southwest Airlines,2014,3,1481265.041,4.8
Southwest Airlines,2014,4,1410483.029,4.628
Southwest Airlines,2015,1,1381671.365,4.414
Southwest Airlines,2015,2,1567302.345,5.111
Southwest Airlines,2015,3,1569437.132,5.318
Southwest Airlines,2015,4,1528783.925,4.977
Southwest Airlines,2016,1,1501871.616,4.826
Southwest Airlines,2016,2,1631937.699,5.384
Southwest Airlines,2016,3,1630595.106,5.139
Southwest Airlines,2016,4,1585662.782,4.49
Southwest Airlines,2017,1,1550084.067,4.854
Southwest Airlines,2017,2,1702783.341,5.731
Southwest Airlines,2017,3,1658773.652,5.303
Southwest Airlines,2017,4,1593085.221,5.258
Southwest Airlines,2018,1,1556084.376,4.944
Southwest Airlines,2018,2,1727185.446,5.742
Southwest Airlines,2018,3,1702277.483,5.575
Southwest Airlines,2018,4,1677534.957,5.704
Southwest Airlines,2019,1,1569764.826,5.149
Southwest Airlines,2019,2,1693143.396,5.909
Southwest Airlines,2019,3,1668120.899,5.639
Southwest Airlines,2019,4,1675412.897,5.731
Spirit Airlines,2010,1,76989.1185,
Spirit Airlines,2010,2,79426.1475,
Spirit Airlines,2010,3,91598.5665,
Spirit Airlines,2010,4,91223.1495,
Spirit Airlines,2011,1,82967.157,0.233
Spirit Airlines,2011,2,99466.416,0.276
Spirit Airlines,2011,3,100662.66,0.289
Spirit Airlines,2011,4,95292.288,0.274
Spirit Airlines,2012,1,104130.495,0.301
Spirit Airlines,2012,2,113989.9635,0.346
Spirit Airlines,2012,3,120136.6215,0.342
Spirit Airlines,2012,4,116665.605,0.328
Spirit Airlines,2013,1,122894.982,0.37
Spirit Airlines,2013,2,135795.9645,0.407
Spirit Airlines,2013,3,144828.243,0.457
Spirit Airlines,2013,4,143476.1055,0.42
Spirit Airlines,2014,1,148502.8755,0.438
Spirit Airlines,2014,2,157169.2815,0.499
Spirit Airlines,2014,3,164439.009,0.52
Spirit Airlines,2014,4,167766.858,0.474
Spirit Airlines,2015,1,180467.406,0.493
Spirit Airlines,2015,2,200669.931,0.553
Spirit Airlines,2015,3,215333.4645,0.575
Spirit Airlines,2015,4,211467.942,0.52
Spirit Airlines,2016,1,208544.1435,0.538
Spirit Airlines,2016,2,245016.8595,0.584
Spirit Airlines,2016,3,249073.272,0.621
Spirit Airlines,2016,4,244752.795,0.576
Spirit Airlines,2017,1,251542.116,0.59
Spirit Airlines,2017,2,275861.502,0.7
Spirit Airlines,2017,3,287209.9125,0.687
Spirit Airlines,2017,4,282641.2785,0.666
Spirit Airlines,2018,1,302252.0445,0.704
Spirit Airlines,2018,2,337697.136,0.852
Spirit Airlines,2018,3,348708.3075,0.904
Spirit Airlines,2018,4,323224.4925,0.863
Spirit Airlines,2019,1,349420.9635,0.856
Spirit Airlines,2019,2,389561.949,1.013
Spirit Airlines,2019,3,388375.2495,0.992
Spirit Airlines,2019,4,370931.085,0.97
United Airlines,2010,1,1407568.775,4.241
United Airlines,2010,2,1576111.919,5.161
United Airlines,2010,3,1652582.453,5.417
United Airlines,2010,4,1516528.787,8.506
United Airlines,2011,1,1419276.695,8.202
United Airlines,2011,2,1548337.424,9.809
United Airlines,2011,3,1607704.214,10.171
United Airlines,2011,4,1416254.27,8.928
United Airlines,2012,1,2508552.302,8.602
United Airlines,2012,2,2696047.641,9.939
United Airlines,2012,3,2764443.528,9.909
United Airlines,2012,4,2424322.089,8.702
United Airlines,2013,1,2376927.284,8.721
United Airlines,2013,2,2625042.924,10.001
United Airlines,2013,3,2702951.496,10.228
United Airlines,2013,4,2464558.52,9.329
United Airlines,2014,1,2367376.421,8.696
United Airlines,2014,2,2608537.302,10.329
United Airlines,2014,3,2682061.767,10.563
United Airlines,2014,4,2432123.127,9.313
United Airlines,2015,1,2328603.48,8.608
United Airlines,2015,2,2635357.347,9.914
United Airlines,2015,3,2727274.064,10.306
United Airlines,2015,4,2474573.882,9.036
United Airlines,2016,1,2321705.988,8.195
United Airlines,2016,2,2633286.191,9.396
United Airlines,2016,3,2812178.754,9.913
United Airlines,2016,4,2541579.453,9.054
United Airlines,2017,1,2402509.725,8.426
United Airlines,2017,2,2745535.874,10.08
United Airlines,2017,3,2875856.477,9.899
United Airlines,2017,4,2588802.458,9.451
United Airlines,2018,1,2440849.982,9.032
United Airlines,2018,2,2808030.078,10.777
United Airlines,2018,3,2947452.953,11.003
United Airlines,2018,4,2718047.714,10.491
United Airlines,2019,1,2574775.224,9.589
United Airlines,2019,2,2914285.815,11.402
United Airlines,2019,3,2861224.758,11.38
United Airlines,2019,4,2801352.11,10.888
